step,time_seconds,total_vehicles,north_queue,south_queue,east_queue,west_queue,north_speed,south_speed,east_speed,west_speed,north_wait,south_wait,east_wait,west_wait,north_vehicles,south_vehicles,east_vehicles,west_vehicles,avg_speed_kmh,avg_waiting_time,max_waiting_time,halting_count,cars,trucks,buses,motorcycles,emergency_vehicles,emergency_detected,emergency_direction,emergency_direction_name,emergency_priority,emergency_distance,emergency_vehicle_id,emergency_type,north_congestion,south_congestion,east_congestion,west_congestion
57,57,71,51,20,0,0,21.28122477470858,43.76483231517018,0,0,3.450980392156863,0.0,0,0,51,20,0,0,27.61463534948649,2.4788732394366195,28.0,21,58,4,2,7,0,0,0,none,0,999.0,,,56,22,20,20
58,58,74,54,20,0,0,20.621200464698713,44.14384953824335,0,0,3.6481481481481484,0.0,0,0,54,20,0,0,26.978673187278346,2.6621621621621623,29.0,24,60,4,3,7,0,0,0,none,0,999.0,,,57,22,20,20
59,59,75,55,20,0,0,20.518008139895354,44.97395206762921,0,0,3.981818181818182,0.0,0,0,55,20,0,0,27.039593187291047,2.92,30.0,23,61,4,3,7,0,0,0,none,0,999.0,,,57,22,20,20
60,60,75,55,20,0,0,19.993704492014498,44.84583892217651,0,0,4.381818181818182,0.0,0,0,55,20,0,0,26.6209403400577,3.2133333333333334,31.0,23,60,4,3,8,0,0,0,none,0,999.0,,,57,22,20,20
61,61,75,55,20,0,0,20.23812469900645,45.36562388430085,0,0,4.781818181818182,0.0,0,0,55,20,0,0,26.938791148418293,3.506666666666667,32.0,22,60,4,3,8,0,0,0,none,0,999.0,,,57,21,20,20
62,62,79,59,20,0,0,19.31596726003514,45.12017491195845,0,0,4.830508474576271,0.0,0,0,59,20,0,0,25.848678057990412,3.607594936708861,33.0,26,62,5,4,8,0,0,0,none,0,999.0,,,58,21,20,20
63,63,78,58,20,0,0,19.41065218956843,44.953000996931536,0,0,5.310344827586207,0.0,0,0,58,20,0,0,25.95997239658461,3.948717948717949,34.0,23,61,5,4,8,0,0,0,none,0,999.0,,,58,22,20,20
64,64,77,58,19,0,0,20.147193210184515,45.07365835437634,0,0,5.706896551724138,0.0,0,0,58,19,0,0,26.29787941459549,4.298701298701299,35.0,23,60,5,4,8,0,0,0,none,0,999.0,,,57,21,20,20
65,65,78,61,17,0,0,19.741141482618186,44.315357392969744,0,0,5.836065573770492,0.0,0,0,61,17,0,0,25.097060334874293,4.564102564102564,36.0,28,61,5,4,8,0,0,0,none,0,999.0,,,58,20,20,20
66,66,77,62,15,0,0,18.666226799533348,44.67458265231183,0,0,6.17741935483871,0.0,0,0,62,15,0,0,23.732789627996684,4.974025974025974,37.0,29,60,5,4,8,0,0,0,none,0,999.0,,,59,19,20,20
67,67,77,62,15,0,0,18.44456138370715,44.91591926155372,0,0,6.612903225806452,0.0,0,0,62,15,0,0,23.60131941185908,5.324675324675325,38.0,27,60,5,4,8,0,0,0,none,0,999.0,,,59,19,20,20
